prompt,completion
【お知らせ|更新情報|推奨環境】2023.1.11　【重要】コンテンツ閲覧側（スマートフォン）の推奨ブラウザ変更のお知らせ,"貴社内でキュリアコンテンツ閲覧時の注意事項や利用方法などを
まとめていただいた資料やWebサイトをご用意いただいている場合、
大変お手数おかけしますが、推奨ブラウザの記載に修正をお願いいたします。
＜変更内容＞
キュリアのコンテンツ閲覧側（スマートフォン）の
推奨ブラウザの種類を変更します。
＜変更理由＞
iPhoneはSafariが元々標準ブラウザとしてインストールされております。
また、ここ数年に発売されたAndroid端末は
Chromeが元々標準ブラウザとしてインストールされており、
ユーザーの多くがメインのブラウザとして利用しております。

そのため、昨今のモバイルブラウザのシェア率を鑑みて
シェア率が上位のブラウザを中心に開発を行い、
OSやブラウザのアップデートに対応できるよう開発スピードを高めるため
変更することになりました。
＜変更日＞
2023年4月より
＜現在の推奨ブラウザ＞
Safari,Chrome,Firefox,Edge

↓
＜変更後の推奨ブラウザ＞
iOS： Safari（iPhone標準ブラウザ）
Android OS：Chrome（Android標準ブラウザ）
※共に最新バージョンをご利用ください。
＜変更に関してのQ＆A＞
Q1.非推奨ブラウザを利用しコンテンツにアクセスした場合どうなりますか？
A1.非推奨ブラウザでアクセスしていることがシステムが感知できた場合、
　標準ブラウザで表示をお願いするアラートが表示されます。

 
Q2.非推奨ブラウザでコンテンツは動作しますか？
A2.閲覧画面に表示されるボタンが正常に動作しなかったり、
　画像、動画の表示が崩れるなどの不都合が生じる可能性があります。


Q3.コンテンツ作成画面側（パソコン）の推奨ブラウザに変更はありますか？
A3.変更はありません。Chrome、FireFoxの最新バージョンをご利用ください。"
【お知らせ|ギフト】2023.1.11　【エラー報告】ギフトコンテンツでフッターを削除する場合の注意点,"対象コンテンツ
ギフトで作成したフォームコンテンツ
現象の詳細
コンテンツのテンプレート設定でフッターを削除した場合、
公開側のフォームコンテンツで、回答内容入力後に送信ボタンが出現せず
送信完了ができない現象が発生しております。

回避方法
フッターを削除せずにご利用いただければ、
正常にフォームの送信が完了できます。
初期設定のままフッターを表示してご利用ください。
※フッター内容を編集した場合でも、正常にフォームの送信は可能です。


改修完了時期について
改修の開発に着手しております。
実装時期を調整している段階です。"
【お知らせ|整理券】2023.1.26　整理券コンテンツ新規作成停止のお知らせ,"平素より弊社サービスをご利用いただき、誠にありがとうございます。
この度、大規模改修を行うため整理券コンテンツの新規作成を停止いたします。
下記の通りお知らせいたします。
何卒ご理解を賜りますようお願い申し上げます。
対象プラン
ビジネス、ベーシックプラン
対象コンテンツ種類
整理券

整理券コンテンツについては以下をご確認ください。
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/category/6d00e71377721b19d01e39233d5ff60bd900d0cb/
対応内容
整理券コンテンツの新規作成を停止します。
停止日
2023年2月上旬を予定しております。
追記：2023年2月13日に停止いたしました。
再開時期
改修スケジュール調整後に確定しましたらお知らせします。
停止理由
整理券コンテンツの仕様の見直しと、
運用ケースによってはエラーが発生しご迷惑おかけしてしまうため、
新規作成を停止し改修作業を行うこととなりました。

実際に整理券コンテンツを運用いただく中で、
お客様が想定される企画での運用が難しいという
お声をいただくことが多々ございました。

列に並んでいる方が順番にQRコードをかざして整理券を発行する想定で
システム設計、テストを行いベータ版としてリリースしております。

一方で実際に整理券コンテンツをご活用いただく中で、
一斉に複数人が同時にQRコードをかざし
整理券を発行する運用を行うケースがございました。
一斉に複数人が同時に整理券発行を行なった場合に
エラーが発生する可能性があり
ご契約社様とコンテンツ利用者様にご迷惑おかけすることとなりますので、
新規作成を一旦停止いたします。
作成済みコンテンツについて
作成済みコンテンツに関してましては引き続きご利用いただけます。
運用ケースに注意してご利用いただきますようお願い申し上げます。"
【お知らせ|重要】2023.3.13【重要・復旧済み】QR生成がうまくいかないエラーが発生しております。,"~~2023年03月06日
制作サーバー不安定によりQR作成がうまくいかない場合があり、大変ご迷惑おかけしております。
※デザインソフトで背景設定可能なQRコード作成への影響はございません。~~

~~2023年3月7日
新規コンテンツ生成に関しては解消しましたが、
・QRダウンロード時のエラー
・複製がうまくいかないエラー
を確認しております。~~

~~2023年3月9日
一部コンテンツを除き、QRファイルのダウンロードエラーを解消しております。~~

~~【対象コンテンツ】
・スマホサイト
・キャンペーン系（クーポン、ガチャ、くじ、スクラッチ、福引、ルーレット、スロット）
・外部リンク
・フォーム
・通常ギフト
・ドットレスQR1枚~~

~~【詳細】
スタンプラリー、スタンプカード、バリアブルQRは、
現在も引き続き改修作業中です。
ご迷惑をお掛けし誠に申し訳ございません。~~

~~※既に作成済みのコンテンツへの影響はございません。
※QRエラーが起きたコンテンツは、エラー解消後に改めて制作し直していただきますようお願いいたします。~~

2023年3月13日
QR生成時にエラーが出る現象ですが、全てのコンテンツにて解消いたしました。
現在は通常通りご利用いただけます。

この度は、大変ご迷惑をおかけしましたことを深くお詫び申し上げます。
今後とも何卒よろしくお願い申し上げます。
"
【更新情報】2023.3.1【アップデート情報】整理券コンテンツの新規作成を停止しました,"不具合改修
対象コンテンツ：スタンプラリー
詳細：リンクブロックの設定時にテキストを選択するとURLが無効になる現象を改修しました。
仕様変更
対象コンテンツ：整理券
詳細：整理券コンテンツの新規作成を停止しました。

別ページでご説明しております。
こちらをご参照ください。
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/b74e0e4bf0ca1c2e0c9545a623bdfe6b43ea653b/

ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー
対象コンテンツ：外部リンク以外の全コンテンツ
詳細：非推奨ブラウザでアクセス時のアラートメッセージを変更しました。

＜推奨ブラウザ＞
iOS： Safar（iPhone標準ブラウザ）
Android OS：Chrome（Android標準ブラウザ）
※共に最新バージョンをご利用ください。
"
【お知らせ|重要】2023.4.3【重要・復旧済み】QR生成がうまくいかないエラーが発生しております。,"2023年4月3日
QR生成時にエラーが出る現象ですが、全てのコンテンツにて解消いたしました。
現在は通常通りご利用いただけます。

この度は、大変ご迷惑をおかけしましたことを深くお詫び申し上げます。
今後とも何卒よろしくお願い申し上げます。

~~制作サーバー不安定によりQR作成がうまくいかない場合があり、大変ご迷惑おかけしております。~~

~~※既に作成済みのコンテンツへの影響はございません。~~
~~※デザインソフトで背景設定可能なQRコード作成(ギフトのみ)への影響はございません。~~

~~緊急でコンテンツが必要な場合は、以下ページの運用回避策を参考にいただけますと幸いです。~~
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/c01dca7b94b5ceae765682f27bea9206e47c2747/"
【更新情報|重要】2023.4.24更新【運用回避策】QR作成エラーがでたときの運用回避策について,"
■新たにコンテンツを用意したい場合（全プラン）
現在利用していないコンテンツを編集し、再利用をお願い致します。
作成済みコンテンツに関して、コンテンツ部分の編集が可能です。
もし、利用していないコンテンツがございましたら、
編集していただき、コンテンツの再利用にて、コンテンツをご用意いただけますでしょうか。
※注意点
・QRコードの背景・URLが再利用前のコンテンツのままとなります。
・再利用前のコンテンツのログが必要な場合は、お手数ですが編集前に保存をお願いします。
■ギフトコンテンツを利用し新たにガチャコンテンツを作成する方法
対応プラン：ビジネスプラン、ベーシックプラン

URL設定画面にて、“デザインソフトで背景設定可能なQRコード“を選択し作成いただきますと、QR含めコンテンツを通常通り作成いただけます。

ギフトコンテンツにて、ガチャを作成可能です。

※注意点
・二段階抽選機能はご利用いただけません。
・お客様デザインソフトを利用し背景画像とQRコードを合成お願いいたします。
■ドットレスQRを作成し外部リンクを設定し任意のURLに遷移させる方法
対応プラン：ビジネスプラン、ベーシックプラン
URL設定画面にて、“デザインソフトで背景設定可能なQRコード“を選択し作成いただきますと、QR含めコンテンツを通常通り作成いただけます。
その中で、ドットレスQRを1枚のみ生成しコンテンツ種類を「外部リンク」に設定します。

その後、外部リンク先のURLを設定します。
URLは後から変更可能です。
QRコード生成が最優先の場合、任意のURLを設定しQRコード生成を完了させ
後ほどキュリア管理画面内で遷移させたいコンテンツを作成した後に
外部リンクのURLを変更しご対応ください。

※注意点
・お客様デザインソフトを利用し背景画像とQRコードを合成お願いいたします。

別ページでご説明しております。
こちらをご参照ください。
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/8f07fb198c192523ca5f0aa7c1ae5770fef72051/
QRコード生成時にエラーが発生しており、ご不便をおかけし申し訳ございません。
復旧に向けて対応しております。
緊急でコンテンツが必要な場合は、以下ページの運用回避策を参考にいただけますと幸いです。"
2023.4.4【アップデート情報】ホームアイコン追加時のタイトル変更が可能になりました,"不具合改修
コンテンツのテンプレート設定でフッターを削除した場合、
公開側のフォームコンテンツで、回答内容入力後に送信ボタンが出現せず
送信完了ができない現象を改修いたしました。
仕様変更
ホームアイコン追加時のタイトル表示を「QLEAR」から
SEOタイトルで設定した内容を表示させるように変更しました。

フォームの送信完了画面に設定した画像リンクの表示範囲が広くなり
画像を大きく表示できるようになりました。"
【新機能|更新情報】2023.4.7【アップデート情報】ドットレスQR（1枚生成）の対象コンテンツに「外部リンク」が追加されました,"仕様変更
【ドットレスQR（1枚生成）】
ギフトコンテンツのみでした対象コンテンツ種類に「外部リンク」が追加されました。

別ページでご説明しております。
こちらをご参照ください。
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/8f07fb198c192523ca5f0aa7c1ae5770fef72051/"
【新機能】2023.4.12【アップデート情報】フォトフレームコンテンツがリリースされました,"新機能
フォトフレームコンテンツが作成できる機能が追加されました。

別ページでご説明しております。
こちらをご参照ください。
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/category/69f99a76802fabc9f12faa1e529a9742a9344399/

"
